date,fee_bps,return_pct,n_trades,win_rate,sharpe,max_dd_pct,avg_trade_ret,n_rows
2026-01-15,0.0,24.748493845123853,10454,0.4138128945858045,260.02595572847014,-0.5901050208935864,0.0021159056628079135,630031
2026-01-15,0.1,1.2123541932005377,10454,0.32026018748804286,137.13486455222048,-7.926331156370303,0.0011159056628079133,630031
2026-01-15,0.2,-17.88342361831997,10454,0.284580065046872,14.24377337597094,-18.910619781795724,0.00011590566280791352,630031
2026-01-15,0.5,-56.145182368014055,10454,0.2086282762578917,-354.4295001527779,-56.14936136011073,-0.0028840943371920874,630031
2026-01-15,1.0,-84.58382592895227,10454,0.12033671321982016,-968.8849560340261,-84.58452425922587,-0.007884094337192088,630031
2026-01-16,0.0,17.135473671674962,7600,0.37894736842105264,257.41061910997166,-0.27899401104125154,0.0020815685616749477,580689
2026-01-16,0.1,0.6180817744454226,7600,0.3011842105263158,133.74876917174785,-3.4311031712667424,0.0010815685616749472,580689
2026-01-16,0.2,-13.5703073188302,7600,0.26842105263157895,10.086919233524117,-13.575873056289772,8.156856167494758e-05,580689
2026-01-16,0.5,-45.22027928699088,7600,0.19473684210526315,-360.8986305811473,-45.220520275178245,-0.0029184314383250533,580689
2026-01-16,1.0,-74.38262151168944,7600,0.10973684210526316,-979.2078802722665,-74.38262151168944,-0.007918431438325055,580689
2026-01-17,0.0,1.6721987806895378,6126,0.2218413320274241,52.41883167962007,-0.3182282947331655,0.0002708399832282234,642364
2026-01-17,0.1,-10.05184454486534,6126,0.14903689193601044,-141.12287163472894,-10.066282685436986,-0.0007291600167717767,642364
2026-01-17,0.2,-20.424060323812355,6126,0.12357166176950701,-334.66457494907786,-20.43365107670393,-0.0017291600167717764,642364
2026-01-17,0.5,-44.90056764521907,6126,0.07394711067580803,-915.2896848921249,-44.9037293826035,-0.004729160016771777,642364
2026-01-17,1.0,-70.14076135332115,6126,0.03379040156709109,-1882.9982014638701,-70.14076135332115,-0.009729160016771779,642364
2026-01-18,0.0,2.6573064641330246,6617,0.21021611001964635,61.59226823718274,-0.43933912337973774,0.0003965449651604318,702346
2026-01-18,0.1,-10.067811990295484,6617,0.14659211122865348,-93.73001208042037,-10.674684443788228,-0.0006034550348395683,702346
2026-01-18,0.2,-21.21566388971833,6617,0.12558561281547528,-249.05229239802347,-21.56575855504159,-0.0016034550348395685,702346
2026-01-18,0.5,-47.03236392168802,6617,0.08583950430708781,-715.0191333508329,-47.13632103468232,-0.00460345503483957,702346
2026-01-18,1.0,-72.6714275030546,6617,0.04019948617198126,-1491.6305349388488,-72.6714275030546,-0.009603455034839573,702346
2026-01-19,0.0,13.875755347979135,8921,0.37596681986324404,219.69508880522162,-0.17744864380011158,0.0014568939330963438,613056
2026-01-19,0.1,-4.732531295923148,8921,0.2773231700482009,68.8981887602728,-6.490703211833856,0.00045689393309634335,613056
2026-01-19,0.2,-20.300204619852778,8921,0.23965923102791167,-81.89871128467591,-20.660899627462513,-0.0005431060669036562,613056
2026-01-19,0.5,-53.33510443338323,8921,0.16298621230803723,-534.2894114195224,-53.33510443338323,-0.0035431060669036565,613056
2026-01-19,1.0,-80.87814800391746,8921,0.08575271830512274,-1288.2739116442663,-80.87814800391746,-0.008543106066903656,613056
2026-01-20,0.0,34.90727003759149,9546,0.5047140163419234,306.39282087059365,-0.3469171577999442,0.0031377347918514677,532032
2026-01-20,0.1,11.460435827701732,9546,0.41944269851246596,208.74504590048463,-1.3138473278924974,0.002137734791851467,532032
2026-01-20,0.2,-7.911522982336483,9546,0.37230253509323274,111.09727093037576,-10.241046487163153,0.001137734791851467,532032
2026-01-20,0.5,-48.06573656651941,9546,0.2634611355541588,-181.84605397995102,-48.069715439321605,-0.0018622652081485334,532032
2026-01-20,1.0,-80.00820136641723,9546,0.1511627906976744,-670.0849288304956,-80.00820136641723,-0.006862265208148535,532032
2026-01-21,0.0,35.478558844066185,9422,0.4577584376990023,320.319597069338,-0.24936809842126154,0.0032237604119673305,535520
2026-01-21,0.1,12.210377931871452,9422,0.3802801952876247,220.95749935257243,-3.4749609024241304,0.002223760411967329,535520
2026-01-21,0.2,-7.061712963693334,9422,0.3452557843345362,121.59540163580697,-13.948873642120544,0.0012237604119673296,535520
2026-01-21,0.5,-47.19504596949853,9422,0.25047760560390575,-176.49089151448945,-47.19504596949852,-0.0017762395880326707,535520
2026-01-21,1.0,-79.41938688782673,9422,0.15124177457015495,-673.3013800983167,-79.41938688782673,-0.006776239588032671,535520
2026-01-22,0.0,38.42077288770185,9101,0.46544335787276125,397.86931741171435,-0.21386522906927785,0.003573274507597552,537019
2026-01-22,0.1,15.385704142817168,9101,0.3891880013185364,286.52345899368385,-2.43453201694805,0.002573274507597551,537019
2026-01-22,0.2,-3.8161960138965556,9101,0.3489726403691902,175.17760057565346,-9.587782158329441,0.0015732745075975514,537019
2026-01-22,0.5,-44.28821941474514,9101,0.259971431710801,-158.85997467843774,-44.29492010098887,-0.0014267254924024485,537019
2026-01-22,1.0,-77.57806731725545,9101,0.15569717613449072,-715.5892667685897,-77.57806731725545,-0.006426725492402449,537019
2026-01-23,0.0,27.79705069862919,9598,0.4119608251719108,293.5057434183744,-0.1867346945276322,0.0025561517320687893,587291
2026-01-23,0.1,5.476160071179703,9598,0.34600958533027715,178.6824566251333,-4.959046521968201,0.0015561517320687886,587291
2026-01-23,0.2,-12.946355751588412,9598,0.30808501771202335,63.85916983189229,-15.190668920996158,0.0005561517320687888,587291
