test_date,split,model,threshold,auc,accuracy,return_0fee,return_01bps,n_trades,win_rate,sharpe
2025-12-20,train,XGBoost,0.55/0.45,0.6887911035063918,0.6788698808401683,2.779317915588475,-2.0385357744003074,2401,0.5601832569762599,59.265602501017455
2025-12-20,train,XGBoost,0.6/0.4,0.6887911035063918,0.6788698808401683,3.52210677156366,-1.4666291671802667,2470,0.5635627530364372,88.54802773546255
2025-12-20,train,LightGBM,0.55/0.45,0.6898699105070437,0.6782579029557828,2.9096059967051113,-1.7238819924749627,2304,0.5651041666666666,64.16121339744957
2025-12-20,train,LightGBM,0.6/0.4,0.6898699105070437,0.6782579029557828,3.5079490346564546,-1.5962902715178862,2529,0.5539739027283511,86.0315710119314
2025-12-26,train,XGBoost,0.55/0.45,0.7216780677503069,0.7435838645083384,1.9268462720600787,0.3742275470646428,768,0.546875,67.36316124289914
2025-12-26,train,XGBoost,0.6/0.4,0.7216780677503069,0.7435838645083384,1.5969773895921913,-0.07060763946369342,828,0.5205314009661836,65.84525834472328
2025-12-26,train,LightGBM,0.55/0.45,0.7221985566954872,0.7433163663043977,1.3565780763514779,-0.21131181519377096,780,0.5217948717948718,51.08727401515668
2025-12-26,train,LightGBM,0.6/0.4,0.7221985566954872,0.7433163663043977,1.7956676951183637,0.12282088626269783,829,0.517490952955368,69.25093175658111
2025-12-27,train,XGBoost,0.55/0.45,0.7985606100799368,0.8479045702647259,1.9393527598102533,-1.705500879429711,1821,0.4876441515650741,18.08122552680358
2025-12-27,train,XGBoost,0.6/0.4,0.7985606100799368,0.8479045702647259,1.6393209865152913,-3.033030009494453,2353,0.44793880152996174,16.228976061925323
2025-12-27,train,LightGBM,0.55/0.45,0.7967152802826266,0.8477317791116329,1.7349177794871107,-1.7337547186062174,1735,0.4956772334293948,16.208653786328362
2025-12-27,train,LightGBM,0.6/0.4,0.7967152802826266,0.8477317791116329,1.6844027405842787,-2.743300445839325,2226,0.45103324348607365,16.69705940056796
2025-12-28,train,XGBoost,0.55/0.45,0.8095848209784047,0.869452228607875,4.3911408356177795,0.461548421025082,1919,0.5148514851485149,31.598358482016213
2025-12-28,train,XGBoost,0.6/0.4,0.8095848209784047,0.869452228607875,4.739347130859262,0.17163806927653624,2230,0.49506726457399103,35.842148690372824
2025-12-28,train,LightGBM,0.55/0.45,0.8110644385700942,0.870370496022726,4.400917029490592,0.3344083947440124,1987,0.5108203321590338,31.982485905354405
2025-12-28,train,LightGBM,0.6/0.4,0.8110644385700942,0.870370496022726,4.989895261928057,0.30086992050855077,2285,0.5037199124726477,38.33820153272511
2025-12-29,train,XGBoost,0.55/0.45,0.7355247037911171,0.7287516520984375,21.04138626419534,6.67467666102064,6318,0.5596707818930041,52.52333936367282
2025-12-29,train,XGBoost,0.6/0.4,0.7355247037911171,0.7287516520984375,21.51076880836209,5.5805464035906915,7027,0.5454674825672406,57.16955950990311
2025-12-29,train,LightGBM,0.55/0.45,0.735031999889208,0.728213844091743,20.359930629102998,6.0656131227897925,6322,0.5520404935147105,52.83332896388251
2025-12-29,train,LightGBM,0.6/0.4,0.735031999889208,0.728213844091743,20.946712483093343,5.29661399409469,6929,0.5502958579881657,56.3347273148873
2025-12-30,train,XGBoost,0.55/0.45,0.7615874856834445,0.7613371899567046,11.048114073639038,-0.7865042977088565,5635,0.5240461401952086,32.8760656764626
2025-12-30,train,XGBoost,0.6/0.4,0.7615874856834445,0.7613371899567046,14.678222362772475,0.8526827928118319,6424,0.5197696139476962,46.065964534694764
2025-12-30,train,LightGBM,0.55/0.45,0.7619902907511253,0.7612484580418603,12.334245599832073,0.4248175918549757,5604,0.5280157030692363,36.57319505067979
2025-12-30,train,LightGBM,0.6/0.4,0.7619902907511253,0.7612484580418603,14.491094936316816,0.6136316766248262,6461,0.5171026156941649,44.89261574406127
2025-12-31,train,XGBoost,0.55/0.45,0.7902895931966903,0.7999347587556715,11.397341148473593,2.780344718243577,4026,0.555638350720318,45.84736350279594
2025-12-31,train,XGBoost,0.6/0.4,0.7902895931966903,0.7999347587556715,13.678425645083326,3.4433835384242606,4718,0.5447223399745655,55.08142801398092
2025-12-31,train,LightGBM,0.55/0.45,0.7896827265173255,0.7998289888595633,9.882543861317483,1.70155233991931,3869,0.5484621349185836,38.64016402206214
2025-12-31,train,LightGBM,0.6/0.4,0.7896827265173255,0.7998289888595633,12.9900357186018,3.14238371566955,4560,0.5489035087719298,52.848252402205475
2026-01-01,train,XGBoost,0.55/0.45,0.7867704996373246,0.8185294230539105,2.1779632115887626,-3.0528501872726377,2628,0.5365296803652968,15.588064041942795
2026-01-01,train,XGBoost,0.6/0.4,0.7867704996373246,0.8185294230539105,3.313357775165171,-2.7313534462563016,3015,0.5320066334991708,24.786072280936914
2026-01-01,train,LightGBM,0.55/0.45,0.7867942786124277,0.8186208656110507,2.768172118674106,-2.8063199592099575,2789,0.5507350304768734,19.63021073960206
2026-01-01,train,LightGBM,0.6/0.4,0.7867942786124277,0.8186208656110507,2.677367530931618,-3.463451881451307,3084,0.5333981841763943,20.423300196987128
2026-01-02,train,XGBoost,0.55/0.45,0.7368053627645005,0.7362780245870911,19.989399916224436,6.379684453514978,6020,0.5244186046511627,51.98641044528375
2026-01-02,train,XGBoost,0.6/0.4,0.7368053627645005,0.7362780245870911,23.712400828662595,7.497860713411519,7025,0.533950177935943,64.26820954932168
2026-01-02,train,LightGBM,0.55/0.45,0.7374565532463628,0.7362543251476906,19.377299632799307,5.805259306213673,6035,0.5267605633802817,49.66786567695735
