threshold,precision,recall,frequency,edge,expected_trades,total_edge
0.3,0.39866236042866643,0.5752925343003477,0.4583228615247613,-0.20267527914266714,231602.0,-46939.99999999999
0.31020408163265306,0.39980183195349656,0.5656722369683602,0.44937416514124573,-0.2003963360930069,227080.0,-45506.00000000001
0.32040816326530613,0.40106692313569337,0.5560394781113313,0.4403285014594568,-0.19786615372861327,222509.0,-44027.00000000001
0.33061224489795915,0.4021234635846634,0.5463070270539708,0.43148468807203283,-0.19575307283067322,218040.0,-42681.99999999999
0.3408163265306122,0.40326091535944497,0.5367490373471906,0.42273982090733686,-0.19347816928111006,213621.0,-41331.000000000015
0.3510204081632653,0.40422583003962015,0.5269916632397473,0.41406421609855043,-0.1915483399207597,209237.0,-40079.0
0.36122448979591837,0.4052019765950078,0.517564519545902,0.40567753426012965,-0.18959604680998443,204999.0,-38867.0
0.37142857142857144,0.4060976399284857,0.5080812989893703,0.39736605155098204,-0.18780472014302863,200799.0,-37711.00000000001
0.38163265306122446,0.4069225761829204,0.49854823233267287,0.3891198733488349,-0.18615484763415924,196632.0,-36604.0
0.39183673469387753,0.408114942648105,0.48971301107829573,0.38110720823232574,-0.18377011470379,192583.0,-35390.99999999999
0.4020408163265306,0.40891008232198933,0.48033571348461623,0.3730826695690892,-0.18217983535602134,188528.0,-34345.99999999999
0.4122448979591836,0.40940991430740864,0.47034157040138574,0.3648740909315787,-0.18118017138518272,184380.0,-33405.99999999999
0.4224489795918367,0.41018531867936875,0.46090196518249904,0.35687527828625143,-0.1796293626412625,180338.0,-32393.999999999996
0.43265306122448977,0.4106594091965754,0.45128166785051155,0.3490229060505615,-0.1786811816068492,176370.0,-31513.999999999993
0.44285714285714284,0.4113721488456231,0.4420788316074121,0.34131301637559985,-0.17725570230875376,172474.0,-30571.999999999996
0.4530612244897959,0.4118634019090532,0.4328448415517091,0.3337851877504576,-0.17627319618189363,168670.0,-29732.0
0.463265306122449,0.41222077969350984,0.4233678517576981,0.3261940335427695,-0.17555844061298032,164834.0,-28937.999999999996
0.47346938775510206,0.41267624863469365,0.41432701534013733,0.3188759709098105,-0.1746475027306127,161136.0,-28142.000000000007
0.4836734693877551,0.4130740229768134,0.4048251024960435,0.31126304853312226,-0.1738519540463732,157289.0,-27344.999999999996
0.49387755102040815,0.4132291110735066,0.39559734320286116,0.304053826745164,-0.17354177785298674,153646.0,-26664.0
0.5040816326530612,0.4136928769041032,0.38665619898563186,0.2968485628061149,-0.17261424619179355,150005.0,-25892.999999999993
0.5142857142857142,0.4138899135210459,0.37752813189278106,0.28970266660070254,-0.17222017295790815,146394.0,-25212.000000000004
0.5244897959183673,0.4141194105121596,0.3683813725123681,0.28252708652847175,-0.17176117897568077,142768.0,-24521.999999999993
0.5346938775510204,0.41439804674877023,0.35955861278303236,0.2755751249196062,-0.17120390650245954,139255.0,-23841.000000000004
0.5448979591836735,0.41488287783779004,0.35082308372898674,0.2685657745015584,-0.17023424432441991,135713.0,-23103.0
0.5551020408163265,0.41495328515707675,0.3420377085747754,0.26179587394251225,-0.1700934296858465,132292.0,-22502.000000000007
0.5653061224489795,0.41471379922893736,0.3331090258825875,0.25510908821055756,-0.17057240154212527,128913.0,-21988.999999999996
0.5755102040816327,0.41470194666581706,0.3244046506411455,0.2484500074209667,-0.1705961066683659,125548.0,-21418.0
0.5857142857142856,0.4140083104305719,0.3153700449861054,0.24193538811655865,-0.1719833791388562,122256.0,-21026.000000000004
0.5959183673469388,0.4138099243061396,0.3065659775443319,0.23529411764705882,-0.17238015138772078,118900.0,-20496.0
0.6061224489795918,0.4138047254437665,0.29834760177950576,0.22898926433483402,-0.17239054911246698,115714.0,-19948.000000000004
0.6163265306122448,0.4135001242941866,0.2901977644024076,0.22289813486370158,-0.17299975141162682,112636.0,-19486.0
0.6265306122448979,0.41303235707891034,0.2817114658491906,0.2166249443427497,-0.17393528584217932,109466.0,-19040.0
0.636734693877551,0.41264206551727384,0.2730507059453936,0.21016375599861475,-0.17471586896545233,106201.0,-18555.000000000004
0.6469387755102041,0.41260694953727955,0.265019253056189,0.20399940632266364,-0.1747861009254409,103086.0,-18018.0
0.657142857142857,0.4121982439648793,0.2568258003414458,0.1978884876069856,-0.17560351207024139,99998.0,-17559.999999999996
0.6673469387755102,0.41246235716348334,0.2491931162535671,0.19188443081185375,-0.17507528567303332,96964.0,-16976.000000000004
0.6775510204081632,0.4112319611766208,0.24076289456303662,0.18594765744817693,-0.17753607764675838,93964.0,-16682.000000000004
0.6877551020408164,0.41073292963040303,0.23286228768676712,0.18006431504477316,-0.17853414073919394,90991.0,-16244.999999999995
0.6979591836734693,0.4096928808323111,0.2247498348847932,0.17423242467718794,-0.18061423833537782,88044.0,-15902.000000000005
0.7081632653061224,0.40874444209189076,0.21651276683240495,0.16823628357987433,-0.18251111581621848,85014.0,-15515.999999999998
0.7183673469387755,0.4083387114450276,0.20894239036973344,0.16251521298174443,-0.18332257710994482,82123.0,-15054.999999999998
0.7285714285714285,0.4074074074074074,0.20102309120590178,0.15671300648097758,-0.18518518518518523,79191.0,-14665.000000000004
0.7387755102040816,0.406749927997277,0.19358979151868605,0.15116212338593973,-0.186500144005446,76386.0,-14245.999999999998
0.7489795918367346,0.4063243147753061,0.18630603013196756,0.14562707168653838,-0.18735137044938777,73589.0,-13786.999999999996
0.7591836734693878,0.4050781360386583,0.17862973070644386,0.14005639934695494,-0.18984372792268345,70774.0,-13435.999999999998
0.7693877551020407,0.40427939512395844,0.17140827694493252,0.13465987235937268,-0.19144120975208312,68047.0,-13027.0
