,imb_band_5_10bps,imbalance_L5,cog_vs_mid,mlofi_sum_5s,ask_size_L2,bid_size_L2,mid_velocity,ofi
1tick,0.03399712039896429,0.036131303843583054,0.005829441026378265,0.021013753069486225,-0.0032202366251197407,0.0007743340324397497,0.016084791422853534,0.01603102028898509
5tick,0.05487282909596974,0.05669739382660866,-0.0018766479895398988,0.032565838999724595,-0.006240081454958025,0.0033075844839557675,0.013017754723580225,0.011786259370582515
10tick,0.06301521035437747,0.0657908435786145,-0.009526321955148024,0.0386583892275768,-0.007298300869678727,0.00403032542018983,0.011153245202596201,0.009408512778264166
30tick,0.07079515510480087,0.07924935646376334,-0.018868170231949973,0.039084017153322645,-0.007869155067735487,0.0038953687685980335,0.006283332742999363,0.007626307559859765
60tick,0.06273143685308863,0.08501711294369409,-0.021490490231650877,0.026011996803494558,-0.00818673118234167,0.004761970926733726,0.0035177369989085614,0.006941069896974142
