threshold,n_trades,trade_freq_pct,win_rate,avg_return_bps,total_return_bps,sharpe,max_dd_bps
0.5,151470,29.974768713204377,0.0,-130.86479170792896,-19822090.0,-10342.155218807186,-19821965.0
0.55,134002,26.517983475980806,0.0,-130.85110669990001,-17534310.0,-9721.825246995897,-17534185.0
0.6,117625,23.277098896749617,0.0,-130.86176408076514,-15392615.0,-9112.566483677854,-15392490.0
0.65,102193,20.223222678474247,0.0,-130.87486422749112,-13374495.0,-8498.62544961912,-13374370.0
