fold,train_samples,test_samples,test_up_pct,accuracy,roc_auc,precision,recall,f1,test_start,test_end
1,101065,101065,24.598030970167713,0.5477069212882798,0.5476738890730813,0.27480289448104545,0.5117457763475463,0.3575855526667135,2026-01-26 04:24:40.002000,2026-01-26 08:08:20.551000
2,202130,101065,20.32157522386583,0.7474397664869143,0.6545804055055993,0.35846057785093943,0.3074788197487584,0.3310182151749443,2026-01-26 08:08:20.600000,2026-01-26 11:32:11.798000
3,303195,101065,32.602780388858655,0.666620491762727,0.5816168202552209,0.46907516856738535,0.17101669195751137,0.25065053488423816,2026-01-26 11:32:11.851000,2026-01-26 15:50:46.702000
4,404260,101065,44.57824172562213,0.5800128630089546,0.6061406498392502,0.5315640361285323,0.4872483519410472,0.5084423856398379,2026-01-26 15:50:46.751000,2026-01-26 20:26:20.852000
5,505325,101065,36.70212239647751,0.6109731361005294,0.6168061354313329,0.4675309507124504,0.43167174399482383,0.4488863346462763,2026-01-26 20:26:20.901000,2026-01-26 23:59:56.398000
