,AAVE-USD,ADA-USD,AVAX-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,FARTCOIN-USD,HBAR-USD,avg_abs
ofi_sum_5s,0.10359018552022703,0.27228872531914294,0.2258454170426902,0.019372278941557915,0.02487003666805164,0.1472702089587215,0.03812067985616513,0.1228008904037837,0.12626618366325226,0.12004717848595473
ofi_sum_60s,0.050578686791483925,0.07407538104168811,0.07457536086529654,0.01733780273914863,0.018951804355956316,0.05755769143295909,0.016733990351111026,0.06431877608133926,0.041886078134515024,0.046223952421499764
ofi_sum_900s,0.014700833223459964,0.01890409618376488,0.02172381845514973,-0.00013016930024266758,0.004966602067029861,0.014964915736500588,-0.005579434199590931,0.03035989149427516,0.00483787311074346,0.012907514863417471
order_flow_toxicity,-0.00539833294194097,0.004133355014032496,-0.007980836407352664,-0.003486875119332542,0.005092355596461294,-0.004555345363696256,-2.5087595027360075e-05,-0.006396060108325783,-0.004343561015113827,0.004601312129031466
relative_spread,-0.004857826288122047,0.01022694792534502,0.000169885273950598,8.953039079649921e-05,0.013658626801517004,-0.010271647716930149,0.0025590907172088548,0.0081976331463854,-0.003166256724058561,0.005910827220479348
rv_15s,0.004410551094716357,0.010339562319396773,-0.015888456190334303,-0.0010241572589013896,0.005827459686778387,0.012371383053013376,0.002135803589076986,0.029895931319743562,-0.007538376829863811,0.009936853482424995
rv_300s,0.008148762618771063,0.0041259086552612395,-0.0022798558976494052,0.018694440690992947,0.00882982239272027,0.0036606944656607673,0.010689217181808168,0.0079669482116873,-0.004937673582525876,0.007703702633008561
rv_5s,0.006662479733896902,0.00429882437302729,-0.021284202070277387,0.004140749243551352,0.005380841204519845,0.013241539707623243,0.0004234481200541628,0.020559495093517243,-0.006472562272526463,0.009162682424332654
rv_60s,0.001483570563956489,-0.0016233577948490878,-0.010933112998008813,0.023470512169831308,0.003395747242226472,-0.002213962030890885,0.0028491357617947246,0.02534284366841124,-0.010290688571092556,0.009066992311229063
rv_900s,0.003158251612625014,0.014657831347834773,0.00660135932918676,0.012876553828843371,0.004512477543248067,0.00612348820607176,0.009260840953740135,0.010213745166820118,-0.001234243602855024,0.007626532399025002
smart_ask_depth,-0.08945244159403526,-0.06338777857611425,-0.01195171901372861,-0.016237946297681927,-0.01823318766878759,-0.0823212168729058,-0.023599990895531026,-0.11622311520605742,-0.10701208585354971,0.05871327577537685
smart_bid_depth,0.07625384525701503,0.02880811881302012,0.026922182290098903,0.016664036785518564,0.039212705955056576,0.12551326352428943,0.014108889558952351,0.13359858787075063,0.21028952845897417,0.07459679539040842
smart_depth_imbalance,0.19896260949273933,0.07193554912624037,0.047264280307569594,0.07608857001491673,0.09332074456624297,0.2547004502193054,0.161585474303854,0.2498725821498409,0.2762717032724099,0.1588891070503466
spread,-0.0056104974515346845,0.009046478791936903,-0.00452440548472389,-0.00016803815285932456,0.01354015417346712,-0.011578844184754074,0.002410675149109007,0.007155400328368253,-0.004086698384192106,0.0064579102334383735
spread_percentile,-0.02660207228427204,0.0002939017174198326,0.03726865269092114,-0.005485503956237539,-0.017268203183329337,-0.019658690316284363,-0.024766042444366258,-0.018267839038726127,-0.014925720514587593,0.01828184734957158
tfi_15s,-0.0030417592812167736,-0.005112405211624037,-0.008475150574888932,-0.007696802635255593,-0.021453843508517794,0.0011868719326182222,-0.02051051106973165,-0.0036442147459974433,-0.0030598045633250825,0.008242373724797282
tfi_300s,-0.019988332551228564,-0.00030282535103299017,-0.001869133642910511,-0.008377826044146197,-0.009908265992389108,-0.0033934032740190498,-0.0018849073568497033,-0.00761331467522212,-0.010178216809021918,0.007057358410757796
tfi_5s,-0.0001384518148318414,0.0001626286929049756,0.0030877013716496273,0.0005397492942423082,-0.023790031665955516,-0.004589654130157321,-0.005293378527551736,-0.01542334802125188,-0.0049595808862140135,0.0064427249338621356
tfi_60s,-0.021229983437258144,-0.004974070409945626,-0.0035430121829567664,-0.013007163957762758,-0.015067551093955954,-0.009502471422740499,-0.014424192951245883,-0.01489094101230836,-0.022758839524685753,0.013266469554762194
tfi_900s,-0.017362097707468226,-0.0025985322262138395,0.0009934545669591417,-0.0030411987242739674,-0.00537362845394033,-0.0037226027528770057,-0.0009899620567598302,-0.010157536443402044,-0.0060761137999470905,0.005590569636871275
total_ask_depth,-0.08676219840439738,-0.035488524573546024,0.01029446131683374,-0.015664926285124198,-0.018138554869749097,-0.07805182847681612,-0.023659368543785413,-0.1165990601540968,-0.10631971160040306,0.05455318158052798
total_bid_depth,0.07446161334535771,0.010153087569527266,0.011207967615020444,0.016430534037316806,0.03899828042462958,0.12074213787056573,0.014124051090598597,0.11159096725012739,0.2037499090643098,0.06682872758527258
total_imbalance,0.1924658512787085,0.03176018810403476,-0.00033571615150416534,0.07404714217611798,0.09256221000007316,0.24867380575441025,0.16075326104971663,0.23085593242836766,0.2717647360999192,0.14480209367142802
trade_vol_15s,-0.010375133500108592,0.00405903123557969,-0.00781721006512484,0.007767688725196173,0.01591158015158328,0.010359142168808833,0.00709444706347028,0.013765586311113444,-0.010223252211942173,0.009708119048103033
trade_vol_5s,-0.00344251353496101,0.009791125559243871,-0.011704826790755662,-0.002896756833116533,0.015353264093964716,0.004757649970816182,0.01853347902156267,0.016833693790643717,-0.00400865981013965,0.009702441045022667
trade_vol_60s,-0.002682908054825381,-0.0019083388048201618,-0.005793587147892687,0.016266914619477404,0.013047265117188825,-0.002295086349191861,0.0011146234773402974,0.025406155026356424,-0.010928346825111367,0.008827025046911602
vpin,-0.00539833294194097,0.004133355014032496,-0.007980836407352664,-0.003486875119332542,0.005092355596461294,-0.004555345363696256,-2.5087595027360075e-05,-0.006396060108325783,-0.004343561015113827,0.004601312129031466
