Strategy,Return %,Trades,Win Rate,Sharpe,Sortino,Max DD %,Profit Factor,Avg Hold
HBAR-USD,+161.0%,3073,64.0%,1.16,0.23,-3.43%,2.51,86
DOGE-USD,+149.1%,3322,67.8%,1.01,0.14,-5.89%,2.28,88
